timestamp,scenario,ordering,planner,rep,status,run_dir,tour_s,coverage,aruco
2026-08-18T07:34:57+01:00,4,input,astar,2,ok,20260818_063316__scenario4__astar__drone0,76.4,5,5
2026-08-18T07:37:46+01:00,4,input,astar,3,ok,20260818_063605__scenario4__astar__drone0,76.8,5,5
2026-08-18T07:41:55+01:00,4,input,rrts,1,ok_incomplete,20260818_063854__scenario4__rrts__drone0,157.7,3,3
2026-08-18T07:44:48+01:00,4,input,rrts,2,ok,20260818_064302__scenario4__rrts__drone0,73.9,5,5
2026-08-18T07:47:39+01:00,4,input,rrts,3,ok,20260818_064555__scenario4__rrts__drone0,79.6,5,5
2026-08-18T07:50:31+01:00,4,nn_2opt,straight,1,ok_incomplete,20260818_064847__scenario4__straight__drone0,80.3,3,3
2026-08-18T07:53:25+01:00,4,nn_2opt,straight,2,ok_incomplete,20260818_065141__scenario4__straight__drone0,80.9,3,3
2026-08-18T07:56:06+01:00,4,nn_2opt,straight,3,ok_incomplete,20260818_065432__scenario4__straight__drone0,70.5,4,4
2026-08-18T07:58:47+01:00,4,nn_2opt,astar,1,ok,20260818_065715__scenario4__astar__drone0,68.9,5,5
2026-08-18T08:01:30+01:00,4,nn_2opt,astar,2,ok,20260818_065956__scenario4__astar__drone0,69.8,5,5
2026-08-18T08:04:22+01:00,4,nn_2opt,astar,3,ok,20260818_070237__scenario4__astar__drone0,81.6,5,4
2026-08-18T08:07:10+01:00,4,nn_2opt,rrts,1,ok,20260818_070530__scenario4__rrts__drone0,77.1,5,5
2026-08-18T08:09:57+01:00,4,nn_2opt,rrts,2,ok,20260818_070818__scenario4__rrts__drone0,75.5,5,5
2026-08-18T08:11:21+01:00,4,nn_2opt,rrts,3,no_mission,20260818_071106__scenario4__rrts__drone0,,0,0
2026-08-18T08:14:05+01:00,4,nn_2opt,rrts,3,ok,20260818_071229__scenario4__rrts__drone0,71.3,5,5
